cytoband	14q32.33	19q13.42	10q11.22	19p13.2	19p12	17q11.2	5q31.3	17p13.2	1q21.3	16p11.2	17q21.31	11p15.5	21q21.1	7q11.21	14q11.2	17p12	2q11.2	10q26.2	14q24.3	18q23	15q11.2	22q11.1	4p16.3	14q22.1
																							PRDM8	TTC5
																							UTP3	MAPK1IP1L
																							INTS12	EGLN3
																							ANKRD50	C14orf126
																							ATP10D	IFT43
																							DANCR	WDR89
																							KIAA1211	C14orf149
																							RNF150	AHNAK2
																							KIAA1239	TRIM9
																							TBC1D14	TRMT61A
																							SORCS2	DHRS1
																							CC2D2A	CMTM5
																							KLHL8	MIA2
																							PCDH10	TDRD9
																							KIAA1430	ANKRD9
																							FNIP2	AK7
																							SLAIN2	IFI27L1
																							SHROOM3	C14orf28
																							STIM2	TRAPPC6B
																							SH3RF1	C14orf79
																							KIAA1530	PLD4
																							METTL14	ADSSL1
																							WDR19	RNASE11
																							ZFYVE28	TPPP2
																							GBA3	RNASE8
																							ENOPH1	MRPL52
																							PROL1	PSMB11
																							OSTC	OR4K14
																							IL21	OR4L1
																							RXFP1	OR11H6
																							AFAP1	LRR1
																							GUF1	KLHDC1
																							SPCS3	FRMD6
																							SCOC	SOCS4
																							TRAPPC11	NAA30
																							NEUROG2	GPHB5
																							SLC39A8	NOXRED1
																							NCAPG	JDP2
																							HHIP	ISCA2
																							NDST4	ACOT4
																							AGXT2L1	TTC8
																							USP46	TC2N
																							MRPL1	SLC24A4
																							RASL11B	SLC25A29
																							ELOVL6	DEGS2
																							TNIP2	KLHL33
																							HAUS3	RPL10L
																							NDNF	LINC00239
																							FAT4	LOC145216
																							ARSJ	RDH12
																							SRD5A3	ADAM21P1
																							ARHGAP10	GSC
																							FLJ13197	SERPINA12
																							MLF1IP	PRIMA1
																							THAP9	MIPOL1
																							NSUN7	PPP1R36
																							UGT2A3	SLC38A6
																							NBLA00301	C14orf37
																							GSTCD	FRMD6-AS1
																							MAP9	ABHD12B
																							TNIP3	LOC145474
																							PHF17	PTGR2
																							ABCA11P	FAM161B
																							SCD5	C14orf166B
																							DNAJB14	ISM2
																							TMEM156	CEP128
																							WWC2	MDP1
																							FRAS1	TTC7B
																							NAA15	LRFN5
																							CWH43	FAM71D
																							C4orf29	TMEM229B
																							ALPK1	C14orf49
																							GRPEL1	CLEC14A
																							MED28	FITM1
																							CXXC4	REM2
																							KCNIP4	TMEM30B
																							CEP44	MDGA2
																							SETD7	SAMD15
																							PLA2G12A	C14orf21
																							FIP1L1	EML5
																							TLR10	SPTSSA
																							SLC25A31	MGC23270
																							RAB33B	ADCY4
																							ARHGAP24	C14orf183
																							FGFBP2	RALGAPA1
																							SNX25	SFTA3
																							TTC29	FBXO33
																							MND1	NUDT14
																							SLC10A7	LINC00521
																							TKTL2	SERPINA11
																							C4orf17	IGBP1P1
																							QRFPR	LOC283547
																							FAM175A	C14orf182
																							KIAA1109	LOC283553
																							MFSD7	GPR137C
																							NOA1	PROX2
																							TMEM175	ZDHHC22
																							ABLIM2	TMED8
																							HOPX	C14orf178
																							COL25A1	LOC283585
																							USP38	LOC283587
																							LNX1	FAM181A-AS1
																							C4orf49	SNHG10
																							AFAP1-AS1	C14orf177
																							NAA11	SLC25A47
																							AGPAT9	LINC00523
																							CBR4	LOC283624
																							PIGY	TSSK4
																							TMEM128	FAM177A1
																							CABS1	KIAA0284
																							ZNF518B	C14orf80
																							FHDC1	DHRS4L2
																							FLJ20021	C14orf55
																							MGC45800	C14orf39
																							PRMT10	CCDC85C
																							CCDC149	ITPK1-AS1
																							DDX60L	SNORD8
																							YTHDC1	SNORD56B
																							C4orf42	SERPINA9
																							TMEM129	LINC00226
																							NAF1	LINC00221
																							MOB1B	RNASE10
																							TIFA	VSX2
																							FAM114A1	OR6S1
																							RG9MTD2	SLC35F4
																							MRFAP1	COX8C
																							LOC93622	ASPG
																							TADA2B	RAB15
																							TBCK	FLJ31306
																							HTRA3	TBPL2
																							HELQ	C14orf23
																							CYP2U1	TOMM20L
																							C1QTNF7	SERPINA13
																							MRFAP1L1	C14orf64
																							DDIT4L	RTL1
																							CLNK	TMEM179
																							WDR17	OR4N2
																							ARAP2	OR4K2
																							GDEP	OR4K13
																							ANTXR2	OR4K17
																							OCIAD2	OR4N5
																							SCLT1	OR11G2
																							C4orf33	OR11H4
																							TMEM155	RNASE9
																							PABPC4L	OR5AU1
																							ADAD1	HEATR4
																							ZFP42	FLJ22447
																							LIN54	PLEKHD1
																							SPATA18	LOC400236
																							C4orf32	LOC400238
																							TMPRSS11B	DICER1-AS1
																							GNPDA2	C14orf180
																							SPATA4	POTEG
																							CPEB2	MIR127
																							EVC2	MIR134
																							ARL9	MIR136
																							AASDH	MIR154
																							PDCL2	MIR203
																							C4orf36	MIR208A
																							PACRGL	MIR299
																							TRAM1L1	C14orf165
																							OTOP1	OR11H12
																							ENPP6	RNASE13
																							SLC9B2	LINC00238
																							ASB5	CCDC88C
																							SLC9B1	OR4Q3
																							ZNF827	OR4M1
																							SH3D19	TEX21P
																							NFXL1	MIR323A
																							NIPAL1	MIR337
																							PAQR3	MIR345
																							SHISA3	MIR376C
																							LOC152578	MIR369
																							SCFD2	RNASE12
																							C4orf38	MIR376A1
																							ZNF595	MIR377
																							LOC152742	MIR379
																							C4orf39	MIR380
																							JAKMIP1	MIR381
																							THAP6	MIR382
																							C4orf26	MIR433
																							KLB	MIR431
																							FAM53A	MIR329-1
																							PPM1K	MIR329-2
																							C4orf45	MIR323B
																							METTL19	MIR409
																							RASGEF1B	MIR412
																							SPATA5	MIR410
																							BBS12	MIR376B
																							DCLK2	MIR485
																							GPR125	MIR493
																							TRIM60	MIR432
																							FREM3	MIR494
																							MMAA	MIR495
																							ZBTB49	MIR496
																							TIGD2	MIR487A
																							RASSF6	ACOT1
																							RBM46	ACOT6
																							SGMS2	POTEM
																							COX7B2	LOC642426
																							GSX2	ECRP
																							ZNF721	C14orf176
																							SYNPO2	CBLN3
																							C4orf46	LOC645431
																							SLC10A4	RPL13AP3
																							TIGD4	LINC00520
																							TMEM154	FLJ43390
																							C4orf34	SYNDIG1L
																							TMEM192	TEX22
																							RWDD4	MIR539
																							CCDC111	MIR376A2
																							TAPT1	MIR487B
																							FLJ39653	SCARNA13
																							TRIML2	SNORA28
																							CNOT6L	SNORA79
																							TECRL	SNORD9
																							LCORL	MIR411
																							C4orf22	MIR624
																							LOC255130	MIR654
																							EPGN	MIR655
																							ZNF718	MIR656
																							ELMOD2	DHRS4L1
																							NPNT	C14orf38
																							CCDC110	LOC731223
																							MFSD8	SNORD113-1
																							LOC256880	SNORD113-2
																							CCDC96	SNORD113-4
																							BOD1L	SNORD113-5
																							FDCSP	SNORD113-6
																							NAP1L5	SNORD113-7
																							LOC285419	SNORD113-9
																							DCAF4L1	SNORD114-1
																							CYP4V2	SNORD114-2
																							LOC285441	SNORD114-3
																							LOC285456	SNORD114-4
																							CRIPAK	SNORD114-5
																							LOC285484	SNORD114-6
																							DOK7	SNORD114-7
																							FLJ35424	SNORD114-8
																							RNF212	SNORD114-9
																							LOC285501	SNORD114-10
																							FAM13A-AS1	SNORD114-11
																							GPRIN3	SNORD114-12
																							COX18	SNORD114-13
																							YIPF7	SNORD114-14
																							FRYL	SNORD114-15
																							RNF175	SNORD114-16
																							LOC285540	SNORD114-17
																							LOC285547	SNORD114-18
																							LOC285548	SNORD114-19
																							FAM200B	SNORD114-20
																							C4orf37	SNORD114-21
																							CSN1S2AP	SNORD114-22
																							C4orf10	SNORD114-23
																							ZAR1	SNORD114-24
																							CCDC158	SNORD114-25
																							TMPRSS11A	SNORD114-26
																							LOC339975	SNORD114-27
																							TRIML1	SNORD114-28
																							LRRC66	SNORD114-29
																							NAT8L	SNORD114-30
																							LOC340017	SNORD114-31
																							LOC344967	MIR758
																							PRSS48	MIR668
																							SOWAHB	MIR770
																							LRIT3	SNORD127
																							C4orf44	SNORD126
																							SLC10A6	SNORA11B
																							HSD17B13	MIR300
																							FAM86EP	MIR541
																							ANKRD37	MIR665
																							POLN	MIR543
																							PCNAP1	MIR208B
																							KCNIP4-IT1	MIR889
																							KCTD8	ZBTB42
																							C4orf52	KTN1-AS1
																							BEND4	LOC100129345
																							GRXCR1	LOC100129794
																							TMPRSS11F	LOC100131366
																							LOC389247	LOC100288846
																							USP17L6P	LOC100289511
																							USP17	MIR1247
																							HSP90AB2P	MIR1185-1
																							TRIM61	MIR1185-2
																							HELT	MIR1260A
																							C4orf48	MIR1197
																							DTHD1	OTX2OS1
																							LOC401127	MIR1193
																							LOC401134	MIR4309
																							SYT14L	MIR3173
																							TMPRSS11BNL	MIR4308
																							C4orf40	MIR4307
																							AMTN	MIR548Y
																							FAM190A	LOC100505967
																							FLJ14186	LOC100506071
																							C4orf3	LOC100506321
																							LOC401164	LOC100506433
																							LOC402160	LOC100507043
																							RPL21P44	NEDD8-MDP1
																							FAM92A3	BCL2L2-PABPN1
																							WDFY3-AS2	SYNJ2BP-COX16
																							MIR218-1	CHURC1-FNTB
																							MIR302A	MIR4505
																							C4orf11	MIR3545
																							LOC441009	MIR4708
																							MTHFD2L	MIR4709
																							LOC441025	MIR4503
																							TMEM150C	MIR4710
																							GUSBP5	MIR548AI
																							HSP90AA6P	MIR4707
																							C4orf47	MIR4706
																							DUX4L4	MIR2392
																							GALNTL6	LOC100628307
																							MIR302B	HIF1A-AS2
																							MIR302C	
																							MIR302D	
																							MIR367	
																							FRG2	
																							CISD2	
																							LOC550112	
																							LOC550113	
																							UGT2A2	
																							LOC641364	
																							LOC641365	
																							LOC641518	
																							ZNF876P	
																							SLED1	
																							LOC644145	
																							LOC644248	
																							DEFB131	
																							TMPRSS11GP	
																							CLRN2	
																							CEP170P1	
																							LOC645513	
																							LOC646576	
																							C4orf51	
																							LOC650293	
																							FLJ38576	
																							DUX4L6	
																							DUX4L5	
																							DUX4L3	
																							ZNF732	
																							SCARNA22	
																							SNORA24	
																							SNORA26	
																							MIR572	
																							MIR573	
																							MIR574	
																							MIR575	
																							MIR577	
																							MIR578	
																							LINC00290	
																							LOC728175	
																							LOC728369	
																							LOC728373	
																							LOC728379	
																							USP17L5	
																							LOC728393	
																							LOC728400	
																							LOC728405	
																							DUX4L2	
																							CETN4P	
																							FAM160A1	
																							FLJ36777	
																							LOC731424	
																							RELL1	
																							PSAPL1	
																							SNHG8	
																							MIR943	
																							FAM47E	
																							LOC100129858	
																							LOC100129917	
																							LOC100129931	
																							FTLP10	
																							LOC100130872	
																							CLDN24	
																							LOC100133461	
																							LOC100144602	
																							PP12613	
																							LOC100288255	
																							ERVMER34-1	
																							MIR1243	
																							MIR2054	
																							MIR1305	
																							MIR548I2	
																							MIR1973	
																							CSN1S2BP	
																							TMED11P	
																							MIR4274	
																							MIR3140	
																							MIR4275	
																							MIR3138	
																							MIR4276	
																							LOC100499177	
																							MIR3945	
																							MIR3684	
																							MIR3688-1	
																							LOC100505545	
																							LOC100505702	
																							LOC100505875	
																							SLIT2-IT1	
																							LOC100505912	
																							LOC100505989	
																							LOC100506013	
																							LOC100506035	
																							LOC100506085	
																							LOC100506122	
																							LOC100506229	
																							LOC100506462	
																							LOC100506564	
																							LOC100506746	
																							LOC100507053	
																							LOC100507096	
																							LOC100507266	
																							1/2-SBSRNA4	
																							MIR4453	
																							MIR378D1	
																							MIR4799	
																							MIR548AJ2	
																							MIR4802	
																							MIR4450	
																							MIR3688-2	
																							MIR4451	
																							MIR4800	
																							MIR4801	
																							MIR4449	
																							MIR4798	
																							FAM47E-STBD1	
																							HTT-AS1	
